"votazione","titolo","descrizione","numeroVotazione","cognome","nome","espressione","infoAssenza","deputato"
"http://dati.camera.it/ocd/votazione.rdf/vs18_737_057","Votazione finale DDL n. 3702","Conversione in legge, con modificazioni, del decreto-legge 16 giugno 2022, n. 68, recante disposizioni urgenti per la sicurezza e lo sviluppo delle infrastrutture, dei trasporti e della mobilit&amp;agrave; sostenibile, nonch&amp;eacute; in materia di grandi eventi e per la funzionalit&amp;agrave; del Ministero delle infrastrutture e della mobilit&amp;agrave; sostenibili (Approvato dal Senato) (DDL 3702)","737057","ACUNZO","NICOLA","Non ha votato","Non ha partecipato","http://dati.camera.it/ocd/deputato.rdf/d307538_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_737_057","Votazione finale DDL n. 3702","Conversione in legge, con modificazioni, del decreto-legge 16 giugno 2022, n. 68, recante disposizioni urgenti per la sicurezza e lo sviluppo delle infrastrutture, dei trasporti e della mobilit&amp;agrave; sostenibile, nonch&amp;eacute; in materia di grandi eventi e per la funzionalit&amp;agrave; del Ministero delle infrastrutture e della mobilit&amp;agrave; sostenibili (Approvato dal Senato) (DDL 3702)","737057","ADELIZZI","COSIMO","Non ha votato","Non ha partecipato","http://dati.camera.it/ocd/deputato.rdf/d307559_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_737_057","Votazione finale DDL n. 3702","Conversione in legge, con modificazioni, del decreto-legge 16 giugno 2022, n. 68, recante disposizioni urgenti per la sicurezza e lo sviluppo delle infrastrutture, dei trasporti e della mobilit&amp;agrave; sostenibile, nonch&amp;eacute; in materia di grandi eventi e per la funzionalit&amp;agrave; del Ministero delle infrastrutture e della mobilit&amp;agrave; sostenibili (Approvato dal Senato) (DDL 3702)","737057","AIELLO","DAVIDE","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307394_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_737_057","Votazione finale DDL n. 3702","Conversione in legge, con modificazioni, del decreto-legge 16 giugno 2022, n. 68, recante disposizioni urgenti per la sicurezza e lo sviluppo delle infrastrutture, dei trasporti e della mobilit&amp;agrave; sostenibile, nonch&amp;eacute; in materia di grandi eventi e per la funzionalit&amp;agrave; del Ministero delle infrastrutture e della mobilit&amp;agrave; sostenibili (Approvato dal Senato) (DDL 3702)","737057","AIELLO","PIERA","Non ha votato","Non ha partecipato","http://dati.camera.it/ocd/deputato.rdf/d307119_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_737_057","Votazione finale DDL n. 3702","Conversione in legge, con modificazioni, del decreto-legge 16 giugno 2022, n. 68, recante disposizioni urgenti per la sicurezza e lo sviluppo delle infrastrutture, dei trasporti e della mobilit&amp;agrave; sostenibile, nonch&amp;eacute; in materia di grandi eventi e per la funzionalit&amp;agrave; del Ministero delle infrastrutture e della mobilit&amp;agrave; sostenibili (Approvato dal Senato) (DDL 3702)","737057","ALAIMO","ROBERTA","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307114_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_737_057","Votazione finale DDL n. 3702","Conversione in legge, con modificazioni, del decreto-legge 16 giugno 2022, n. 68, recante disposizioni urgenti per la sicurezza e lo sviluppo delle infrastrutture, dei trasporti e della mobilit&amp;agrave; sostenibile, nonch&amp;eacute; in materia di grandi eventi e per la funzionalit&amp;agrave; del Ministero delle infrastrutture e della mobilit&amp;agrave; sostenibili (Approvato dal Senato) (DDL 3702)","737057","ALBANO","LUCIA","Astensione",,"http://dati.camera.it/ocd/deputato.rdf/d308421_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_737_057","Votazione finale DDL n. 3702","Conversione in legge, con modificazioni, del decreto-legge 16 giugno 2022, n. 68, recante disposizioni urgenti per la sicurezza e lo sviluppo delle infrastrutture, dei trasporti e della mobilit&amp;agrave; sostenibile, nonch&amp;eacute; in materia di grandi eventi e per la funzionalit&amp;agrave; del Ministero delle infrastrutture e della mobilit&amp;agrave; sostenibili (Approvato dal Senato) (DDL 3702)","737057","ALEMANNO","MARIA SOAVE","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307364_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_737_057","Votazione finale DDL n. 3702","Conversione in legge, con modificazioni, del decreto-legge 16 giugno 2022, n. 68, recante disposizioni urgenti per la sicurezza e lo sviluppo delle infrastrutture, dei trasporti e della mobilit&amp;agrave; sostenibile, nonch&amp;eacute; in materia di grandi eventi e per la funzionalit&amp;agrave; del Ministero delle infrastrutture e della mobilit&amp;agrave; sostenibili (Approvato dal Senato) (DDL 3702)","737057","AMITRANO","ALESSANDRO","Non ha votato","In missione","http://dati.camera.it/ocd/deputato.rdf/d307206_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_737_057","Votazione finale DDL n. 3702","Conversione in legge, con modificazioni, del decreto-legge 16 giugno 2022, n. 68, recante disposizioni urgenti per la sicurezza e lo sviluppo delle infrastrutture, dei trasporti e della mobilit&amp;agrave; sostenibile, nonch&amp;eacute; in materia di grandi eventi e per la funzionalit&amp;agrave; del Ministero delle infrastrutture e della mobilit&amp;agrave; sostenibili (Approvato dal Senato) (DDL 3702)","737057","ANDREUZZA","GIORGIA","Non ha votato","Non ha partecipato","http://dati.camera.it/ocd/deputato.rdf/d307686_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_737_057","Votazione finale DDL n. 3702","Conversione in legge, con modificazioni, del decreto-legge 16 giugno 2022, n. 68, recante disposizioni urgenti per la sicurezza e lo sviluppo delle infrastrutture, dei trasporti e della mobilit&amp;agrave; sostenibile, nonch&amp;eacute; in materia di grandi eventi e per la funzionalit&amp;agrave; del Ministero delle infrastrutture e della mobilit&amp;agrave; sostenibili (Approvato dal Senato) (DDL 3702)","737057","ANGELUCCI","ANTONIO","Non ha votato","Non ha partecipato","http://dati.camera.it/ocd/deputato.rdf/d302942_18"
