"votazione","titolo","descrizione","numeroVotazione","cognome","nome","espressione","infoAssenza","deputato"
"http://dati.camera.it/ocd/votazione.rdf/vs18_275_040","Votazione finale DDL n.2267","Conversione in legge, con modificazioni, del decreto-legge 14 ottobre 2019, n. 111, recante misure urgenti per il rispetto degli obblighi previsti dalla direttiva 2008/50/CE sulla qualit&amp;agrave; dell&amp;#39;aria e proroga del termine di cui all&amp;#39;articolo 48, commi 11 e 13, del decreto-legge 17 ottobre 2016, n. 189, convertito, con modificazioni, dalla legge 15 dicembre 2016, n. 229&amp;quot; (Approvato dal Senato) (DDL 2267)
    ","275040","ACQUAROLI","FRANCESCO","Contrario",,"http://dati.camera.it/ocd/deputato.rdf/d307171_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_275_040","Votazione finale DDL n.2267","Conversione in legge, con modificazioni, del decreto-legge 14 ottobre 2019, n. 111, recante misure urgenti per il rispetto degli obblighi previsti dalla direttiva 2008/50/CE sulla qualit&amp;agrave; dell&amp;#39;aria e proroga del termine di cui all&amp;#39;articolo 48, commi 11 e 13, del decreto-legge 17 ottobre 2016, n. 189, convertito, con modificazioni, dalla legge 15 dicembre 2016, n. 229&amp;quot; (Approvato dal Senato) (DDL 2267)
    ","275040","ACUNZO","NICOLA","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307538_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_275_040","Votazione finale DDL n.2267","Conversione in legge, con modificazioni, del decreto-legge 14 ottobre 2019, n. 111, recante misure urgenti per il rispetto degli obblighi previsti dalla direttiva 2008/50/CE sulla qualit&amp;agrave; dell&amp;#39;aria e proroga del termine di cui all&amp;#39;articolo 48, commi 11 e 13, del decreto-legge 17 ottobre 2016, n. 189, convertito, con modificazioni, dalla legge 15 dicembre 2016, n. 229&amp;quot; (Approvato dal Senato) (DDL 2267)
    ","275040","ADELIZZI","COSIMO","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307559_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_275_040","Votazione finale DDL n.2267","Conversione in legge, con modificazioni, del decreto-legge 14 ottobre 2019, n. 111, recante misure urgenti per il rispetto degli obblighi previsti dalla direttiva 2008/50/CE sulla qualit&amp;agrave; dell&amp;#39;aria e proroga del termine di cui all&amp;#39;articolo 48, commi 11 e 13, del decreto-legge 17 ottobre 2016, n. 189, convertito, con modificazioni, dalla legge 15 dicembre 2016, n. 229&amp;quot; (Approvato dal Senato) (DDL 2267)
    ","275040","AIELLO","PIERA","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307119_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_275_040","Votazione finale DDL n.2267","Conversione in legge, con modificazioni, del decreto-legge 14 ottobre 2019, n. 111, recante misure urgenti per il rispetto degli obblighi previsti dalla direttiva 2008/50/CE sulla qualit&amp;agrave; dell&amp;#39;aria e proroga del termine di cui all&amp;#39;articolo 48, commi 11 e 13, del decreto-legge 17 ottobre 2016, n. 189, convertito, con modificazioni, dalla legge 15 dicembre 2016, n. 229&amp;quot; (Approvato dal Senato) (DDL 2267)
    ","275040","AIELLO","DAVIDE","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307394_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_275_040","Votazione finale DDL n.2267","Conversione in legge, con modificazioni, del decreto-legge 14 ottobre 2019, n. 111, recante misure urgenti per il rispetto degli obblighi previsti dalla direttiva 2008/50/CE sulla qualit&amp;agrave; dell&amp;#39;aria e proroga del termine di cui all&amp;#39;articolo 48, commi 11 e 13, del decreto-legge 17 ottobre 2016, n. 189, convertito, con modificazioni, dalla legge 15 dicembre 2016, n. 229&amp;quot; (Approvato dal Senato) (DDL 2267)
    ","275040","ALAIMO","ROBERTA","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307114_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_275_040","Votazione finale DDL n.2267","Conversione in legge, con modificazioni, del decreto-legge 14 ottobre 2019, n. 111, recante misure urgenti per il rispetto degli obblighi previsti dalla direttiva 2008/50/CE sulla qualit&amp;agrave; dell&amp;#39;aria e proroga del termine di cui all&amp;#39;articolo 48, commi 11 e 13, del decreto-legge 17 ottobre 2016, n. 189, convertito, con modificazioni, dalla legge 15 dicembre 2016, n. 229&amp;quot; (Approvato dal Senato) (DDL 2267)
    ","275040","ALEMANNO","MARIA SOAVE","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307364_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_275_040","Votazione finale DDL n.2267","Conversione in legge, con modificazioni, del decreto-legge 14 ottobre 2019, n. 111, recante misure urgenti per il rispetto degli obblighi previsti dalla direttiva 2008/50/CE sulla qualit&amp;agrave; dell&amp;#39;aria e proroga del termine di cui all&amp;#39;articolo 48, commi 11 e 13, del decreto-legge 17 ottobre 2016, n. 189, convertito, con modificazioni, dalla legge 15 dicembre 2016, n. 229&amp;quot; (Approvato dal Senato) (DDL 2267)
    ","275040","AMITRANO","ALESSANDRO","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307206_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_275_040","Votazione finale DDL n.2267","Conversione in legge, con modificazioni, del decreto-legge 14 ottobre 2019, n. 111, recante misure urgenti per il rispetto degli obblighi previsti dalla direttiva 2008/50/CE sulla qualit&amp;agrave; dell&amp;#39;aria e proroga del termine di cui all&amp;#39;articolo 48, commi 11 e 13, del decreto-legge 17 ottobre 2016, n. 189, convertito, con modificazioni, dalla legge 15 dicembre 2016, n. 229&amp;quot; (Approvato dal Senato) (DDL 2267)
    ","275040","ANDREUZZA","GIORGIA","Contrario",,"http://dati.camera.it/ocd/deputato.rdf/d307686_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_275_040","Votazione finale DDL n.2267","Conversione in legge, con modificazioni, del decreto-legge 14 ottobre 2019, n. 111, recante misure urgenti per il rispetto degli obblighi previsti dalla direttiva 2008/50/CE sulla qualit&amp;agrave; dell&amp;#39;aria e proroga del termine di cui all&amp;#39;articolo 48, commi 11 e 13, del decreto-legge 17 ottobre 2016, n. 189, convertito, con modificazioni, dalla legge 15 dicembre 2016, n. 229&amp;quot; (Approvato dal Senato) (DDL 2267)
    ","275040","ANGELUCCI","ANTONIO","Non ha votato","Non ha partecipato","http://dati.camera.it/ocd/deputato.rdf/d302942_18"
