"votazione","titolo","descrizione","numeroVotazione","cognome","nome","espressione","infoAssenza","deputato"
"http://dati.camera.it/ocd/votazione.rdf/vs18_672_003","Votazione finale PDL n. 3200","Modifica all&amp;#39;articolo 18-bis del testo unico delle disposizioni concernenti la disciplina dell&amp;#39;immigrazione e norme sulla condizione dello straniero, di cui al decreto legislativo 25 luglio 1998, n. 286, in materia di rilascio del permesso di soggiorno alle vittime del reato di costrizione o induzione al matrimonio
(PDL 3200)","672003","ACUNZO","NICOLA","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307538_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_672_003","Votazione finale PDL n. 3200","Modifica all&amp;#39;articolo 18-bis del testo unico delle disposizioni concernenti la disciplina dell&amp;#39;immigrazione e norme sulla condizione dello straniero, di cui al decreto legislativo 25 luglio 1998, n. 286, in materia di rilascio del permesso di soggiorno alle vittime del reato di costrizione o induzione al matrimonio
(PDL 3200)","672003","ADELIZZI","COSIMO","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307559_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_672_003","Votazione finale PDL n. 3200","Modifica all&amp;#39;articolo 18-bis del testo unico delle disposizioni concernenti la disciplina dell&amp;#39;immigrazione e norme sulla condizione dello straniero, di cui al decreto legislativo 25 luglio 1998, n. 286, in materia di rilascio del permesso di soggiorno alle vittime del reato di costrizione o induzione al matrimonio
(PDL 3200)","672003","AIELLO","PIERA","Non ha votato","Non ha partecipato","http://dati.camera.it/ocd/deputato.rdf/d307119_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_672_003","Votazione finale PDL n. 3200","Modifica all&amp;#39;articolo 18-bis del testo unico delle disposizioni concernenti la disciplina dell&amp;#39;immigrazione e norme sulla condizione dello straniero, di cui al decreto legislativo 25 luglio 1998, n. 286, in materia di rilascio del permesso di soggiorno alle vittime del reato di costrizione o induzione al matrimonio
(PDL 3200)","672003","AIELLO","DAVIDE","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307394_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_672_003","Votazione finale PDL n. 3200","Modifica all&amp;#39;articolo 18-bis del testo unico delle disposizioni concernenti la disciplina dell&amp;#39;immigrazione e norme sulla condizione dello straniero, di cui al decreto legislativo 25 luglio 1998, n. 286, in materia di rilascio del permesso di soggiorno alle vittime del reato di costrizione o induzione al matrimonio
(PDL 3200)","672003","ALAIMO","ROBERTA","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307114_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_672_003","Votazione finale PDL n. 3200","Modifica all&amp;#39;articolo 18-bis del testo unico delle disposizioni concernenti la disciplina dell&amp;#39;immigrazione e norme sulla condizione dello straniero, di cui al decreto legislativo 25 luglio 1998, n. 286, in materia di rilascio del permesso di soggiorno alle vittime del reato di costrizione o induzione al matrimonio
(PDL 3200)","672003","ALBANO","LUCIA","Astensione",,"http://dati.camera.it/ocd/deputato.rdf/d308421_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_672_003","Votazione finale PDL n. 3200","Modifica all&amp;#39;articolo 18-bis del testo unico delle disposizioni concernenti la disciplina dell&amp;#39;immigrazione e norme sulla condizione dello straniero, di cui al decreto legislativo 25 luglio 1998, n. 286, in materia di rilascio del permesso di soggiorno alle vittime del reato di costrizione o induzione al matrimonio
(PDL 3200)","672003","ALEMANNO","MARIA SOAVE","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307364_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_672_003","Votazione finale PDL n. 3200","Modifica all&amp;#39;articolo 18-bis del testo unico delle disposizioni concernenti la disciplina dell&amp;#39;immigrazione e norme sulla condizione dello straniero, di cui al decreto legislativo 25 luglio 1998, n. 286, in materia di rilascio del permesso di soggiorno alle vittime del reato di costrizione o induzione al matrimonio
(PDL 3200)","672003","AMITRANO","ALESSANDRO","Non ha votato","In missione","http://dati.camera.it/ocd/deputato.rdf/d307206_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_672_003","Votazione finale PDL n. 3200","Modifica all&amp;#39;articolo 18-bis del testo unico delle disposizioni concernenti la disciplina dell&amp;#39;immigrazione e norme sulla condizione dello straniero, di cui al decreto legislativo 25 luglio 1998, n. 286, in materia di rilascio del permesso di soggiorno alle vittime del reato di costrizione o induzione al matrimonio
(PDL 3200)","672003","ANDREUZZA","GIORGIA","Non ha votato","Non ha partecipato","http://dati.camera.it/ocd/deputato.rdf/d307686_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_672_003","Votazione finale PDL n. 3200","Modifica all&amp;#39;articolo 18-bis del testo unico delle disposizioni concernenti la disciplina dell&amp;#39;immigrazione e norme sulla condizione dello straniero, di cui al decreto legislativo 25 luglio 1998, n. 286, in materia di rilascio del permesso di soggiorno alle vittime del reato di costrizione o induzione al matrimonio
(PDL 3200)","672003","ANGELUCCI","ANTONIO","Non ha votato","Non ha partecipato","http://dati.camera.it/ocd/deputato.rdf/d302942_18"
