"votazione","titolo","descrizione","numeroVotazione","cognome","nome","espressione","infoAssenza","deputato"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","ACQUAROLI","FRANCESCO","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307171_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","ACUNZO","NICOLA","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307538_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","ADELIZZI","COSIMO","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307559_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","AIELLO","PIERA","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307119_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","AIELLO","DAVIDE","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307394_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","ALAIMO","ROBERTA","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307114_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","ALEMANNO","MARIA SOAVE","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307364_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","AMITRANO","ALESSANDRO","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307206_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","ANDREUZZA","GIORGIA","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307686_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","ANGELUCCI","ANTONIO","Non ha votato","Non ha partecipato","http://dati.camera.it/ocd/deputato.rdf/d302942_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","ANGIOLA","NUNZIO","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307294_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","ANNIBALI","LUCIA","Non ha votato","Non ha partecipato","http://dati.camera.it/ocd/deputato.rdf/d307597_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","ANZALDI","MICHELE","Contrario",,"http://dati.camera.it/ocd/deputato.rdf/d305946_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","APREA","VALENTINA","Non ha votato","Non ha partecipato","http://dati.camera.it/ocd/deputato.rdf/d35050_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","APRILE","NADIA","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307365_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","ARESTA","GIOVANNI LUCA","Non ha votato","In missione","http://dati.camera.it/ocd/deputato.rdf/d307368_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","ASCANI","ANNA","Contrario",,"http://dati.camera.it/ocd/deputato.rdf/d305704_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","ASCARI","STEFANIA","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307302_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","AZZOLINA","LUCIA","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307530_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","BADOLE","MIRCO","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307691_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","BAGNASCO","ROBERTO","Non ha votato","Non ha partecipato","http://dati.camera.it/ocd/deputato.rdf/d307134_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","BALDELLI","SIMONE","Contrario",,"http://dati.camera.it/ocd/deputato.rdf/d302089_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","BALDINO","VITTORIA","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307435_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","BARATTO","RAFFAELE","Contrario",,"http://dati.camera.it/ocd/deputato.rdf/d307692_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","BARBUTO","ELISABETTA MARIA","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307566_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","BARELLI","PAOLO","Non ha votato","Non ha partecipato","http://dati.camera.it/ocd/deputato.rdf/d300497_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","BARONI","MASSIMO ENRICO","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d305800_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","BARONI","ANNA LISA","Contrario",,"http://dati.camera.it/ocd/deputato.rdf/d307655_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","BARTOLOZZI","GIUSI","Contrario",,"http://dati.camera.it/ocd/deputato.rdf/d307404_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","BARZOTTI","VALENTINA","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d308001_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","BASINI","GIUSEPPE","Non ha votato","Non ha partecipato","http://dati.camera.it/ocd/deputato.rdf/d200049_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","BATTELLI","SERGIO","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d305715_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","BATTILOCCHIO","ALESSANDRO","Contrario",,"http://dati.camera.it/ocd/deputato.rdf/d307456_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","BAZOLI","ALFREDO","Non ha votato","Non ha partecipato","http://dati.camera.it/ocd/deputato.rdf/d305547_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_138_009","Votazione finale PDL n.1302","Modifica dell&amp;#39;articolo 416-ter del codice penale in materia di voto di scambio politico-mafioso"" (Approvata dal Senato) (PDL 1302 e abbinata PDL 766)
    ","138009","BAZZARO","ALEX","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307696_18"
