gruppo,nomeGruppo,senatore,nome,cognome,carica,inizioAdesione
http://dati.senato.it/gruppo/9,Misto,http://dati.senato.it/senatore/36390,Ilaria,Cucchi,Membro,2022-10-18
http://dati.senato.it/gruppo/9,Misto,http://dati.senato.it/senatore/22918,Peppe,De Cristofaro,Presidente,2022-10-18
http://dati.senato.it/gruppo/9,Misto,http://dati.senato.it/senatore/28543,Mario,Monti,Membro,2022-10-18
http://dati.senato.it/gruppo/9,Misto,http://dati.senato.it/senatore/30512,Renzo,Piano,Membro,2022-10-18
http://dati.senato.it/gruppo/9,Misto,http://dati.senato.it/senatore/36437,Tino,Magni,Tesoriere,2023-03-16
http://dati.senato.it/gruppo/9,Misto,http://dati.senato.it/senatore/32435,Liliana,Segre,Membro,2022-10-18
http://dati.senato.it/gruppo/9,Misto,http://dati.senato.it/senatore/36399,Aurora,Floridia,Vicepresidente,2022-10-18
http://dati.senato.it/gruppo/71,MoVimento 5 Stelle,http://dati.senato.it/senatore/36434,Sabrina,Licheri,Membro,2022-10-18
http://dati.senato.it/gruppo/71,MoVimento 5 Stelle,http://dati.senato.it/senatore/32644,Barbara,Guidolin,Membro,2022-10-18
http://dati.senato.it/gruppo/71,MoVimento 5 Stelle,http://dati.senato.it/senatore/32600,Maria Domenica,Castellone,Membro,2022-10-18
http://dati.senato.it/gruppo/71,MoVimento 5 Stelle,http://dati.senato.it/senatore/32726,Mario,Turco,Membro,2022-10-18
http://dati.senato.it/gruppo/71,MoVimento 5 Stelle,http://dati.senato.it/senatore/32653,Ettore Antonio,Licheri,Membro,2022-10-18
http://dati.senato.it/gruppo/71,MoVimento 5 Stelle,http://dati.senato.it/senatore/32601,Francesco,Castiello,Membro,2022-10-18
http://dati.senato.it/gruppo/71,MoVimento 5 Stelle,http://dati.senato.it/senatore/32634,Barbara,Floridia,Membro,2023-04-18
http://dati.senato.it/gruppo/71,MoVimento 5 Stelle,http://dati.senato.it/senatore/32681,Stefano,Patuanelli,Presidente,2023-04-18
http://dati.senato.it/gruppo/71,MoVimento 5 Stelle,http://dati.senato.it/senatore/36410,Luigi,Nave,Segretario,2022-10-18
http://dati.senato.it/gruppo/71,MoVimento 5 Stelle,http://dati.senato.it/senatore/29132,Bruno,Marton,Membro,2022-10-18
http://dati.senato.it/gruppo/71,MoVimento 5 Stelle,http://dati.senato.it/senatore/36425,Elena,Sironi,Membro,2022-10-18
http://dati.senato.it/gruppo/71,MoVimento 5 Stelle,http://dati.senato.it/senatore/32691,Elisa,Pirro,Tesoriere,2022-10-18
http://dati.senato.it/gruppo/71,MoVimento 5 Stelle,http://dati.senato.it/senatore/32608,Marco,Croatti,Membro,2022-10-18
http://dati.senato.it/gruppo/71,MoVimento 5 Stelle,http://dati.senato.it/senatore/36448,Antonio Salvatore,Trevisi,Membro,2022-10-18
http://dati.senato.it/gruppo/71,MoVimento 5 Stelle,http://dati.senato.it/senatore/32658,Alessandra,Maiorino,Vicepresidente Vicario,2022-10-18
http://dati.senato.it/gruppo/71,MoVimento 5 Stelle,http://dati.senato.it/senatore/32851,Anna,Bilotti,Membro,2022-10-18
http://dati.senato.it/gruppo/71,MoVimento 5 Stelle,http://dati.senato.it/senatore/33065,Roberto,Cataldi,Membro,2022-10-18
http://dati.senato.it/gruppo/71,MoVimento 5 Stelle,http://dati.senato.it/senatore/36423,Roberto Maria Ferdinando,Scarpinato,Membro,2022-10-18
http://dati.senato.it/gruppo/71,MoVimento 5 Stelle,http://dati.senato.it/senatore/36381,Vincenza,Aloisio,Membro,2022-10-18
http://dati.senato.it/gruppo/71,MoVimento 5 Stelle,http://dati.senato.it/senatore/32619,Gabriella,Di Girolamo,Segretario,2022-10-18
http://dati.senato.it/gruppo/71,MoVimento 5 Stelle,http://dati.senato.it/senatore/36417,Luca,Pirondini,Membro,2022-10-18
http://dati.senato.it/gruppo/71,MoVimento 5 Stelle,http://dati.senato.it/senatore/36394,Raffaele,De Rosa,Membro,2022-10-18
http://dati.senato.it/gruppo/71,MoVimento 5 Stelle,http://dati.senato.it/senatore/32655,Pietro,Lorefice,Membro,2022-10-18
http://dati.senato.it/gruppo/71,MoVimento 5 Stelle,http://dati.senato.it/senatore/36406,Orfeo,Mazzella,Membro,2022-10-18
http://dati.senato.it/gruppo/71,MoVimento 5 Stelle,http://dati.senato.it/senatore/36391,Concetta,Damante,Membro,2022-10-18
http://dati.senato.it/gruppo/71,MoVimento 5 Stelle,http://dati.senato.it/senatore/36404,Ada,Lopreiato,Membro,2022-10-18
http://dati.senato.it/gruppo/71,MoVimento 5 Stelle,http://dati.senato.it/senatore/32673,Gisella,Naturale,Membro,2022-10-18
http://dati.senato.it/gruppo/71,MoVimento 5 Stelle,http://dati.senato.it/senatore/36385,Dolores,Bevilacqua,Membro,2022-10-18
http://dati.senato.it/gruppo/85,Fratelli d'Italia,http://dati.senato.it/senatore/2444,Adolfo,Urso,Membro,2022-10-18
http://dati.senato.it/gruppo/85,Fratelli d'Italia,http://dati.senato.it/senatore/3900,Marcello,Pera,Membro,2022-10-18
