"persona","cognome","nome","dataNascita","nato","luogoNascita","genere","collegio","nomeGruppo","sigla","commissione","aggiornamento"
"http://dati.camera.it/ocd/persona.rdf/p305880","FRATOIANNI","NICOLA","19721004","nato a PISA, PISA, TOSCANA, il 04.10.1972","PISA","male","TOSCANA - P03","ALLEANZA VERDI E SINISTRA (AVS) (27.10.2022","AVS","III COMMISSIONE (AFFARI ESTERI E COMUNITARI)",2023-04-30 12:00:58
"http://dati.camera.it/ocd/persona.rdf/p307634","DORI","DEVIS","19791227","nato a TREVIGLIO, BERGAMO, LOMBARDIA, il 27.12.1979","TREVIGLIO","male","LOMBARDIA 2 - P02","ALLEANZA VERDI E SINISTRA (AVS) (27.10.2022","AVS","COMITATO PARLAMENTARE PER I PROCEDIMENTI DI ACCUSA",2023-04-30 12:00:59
"http://dati.camera.it/ocd/persona.rdf/p307634","DORI","DEVIS","19791227","nato a TREVIGLIO, BERGAMO, LOMBARDIA, il 27.12.1979","TREVIGLIO","male","LOMBARDIA 2 - P02","ALLEANZA VERDI E SINISTRA (AVS) (27.10.2022","AVS","GIUNTA PER LE AUTORIZZAZIONI",2023-04-30 12:00:59
"http://dati.camera.it/ocd/persona.rdf/p307634","DORI","DEVIS","19791227","nato a TREVIGLIO, BERGAMO, LOMBARDIA, il 27.12.1979","TREVIGLIO","male","LOMBARDIA 2 - P02","ALLEANZA VERDI E SINISTRA (AVS) (27.10.2022","AVS","II COMMISSIONE (GIUSTIZIA)",2023-04-30 12:00:59
"http://dati.camera.it/ocd/persona.rdf/p308810","GRIMALDI","MARCO","19801108","nato a TORINO, TORINO, PIEMONTE, il 08.11.1980","TORINO","male","PIEMONTE 1 - P01","ALLEANZA VERDI E SINISTRA (AVS) (27.10.2022","AVS","V COMMISSIONE (BILANCIO, TESORO E PROGRAMMAZIONE)",2023-04-30 12:01:12
"http://dati.camera.it/ocd/persona.rdf/p308816","PICCOLOTTI","ELISABETTA","19820210","nato a CAMERINO, MACERATA, MARCHE, il 10.02.1982","CAMERINO","female","PUGLIA - P04","ALLEANZA VERDI E SINISTRA (AVS) (27.10.2022","AVS","COMITATO DI VIGILANZA SULL'ATTIVITA' DI DOCUMENTAZIONE",2023-04-30 12:01:14
"http://dati.camera.it/ocd/persona.rdf/p308816","PICCOLOTTI","ELISABETTA","19820210","nato a CAMERINO, MACERATA, MARCHE, il 10.02.1982","CAMERINO","female","PUGLIA - P04","ALLEANZA VERDI E SINISTRA (AVS) (27.10.2022","AVS","VII COMMISSIONE (CULTURA, SCIENZA E ISTRUZIONE)",2023-04-30 12:01:14
"http://dati.camera.it/ocd/persona.rdf/p308790","BICCHIELLI","GIUSEPPE","19670331","nato a NAPOLI, NAPOLI, CAMPANIA, il 31.03.1967","NAPOLI","male","CAMPANIA 2 - P02","NOI MODERATI (NOI CON L'ITALIA, CORAGGIO ITALIA, UDC, ITALIA AL CENTRO)-MAIE (NM(N-C-U-I)-M) (27.10.2022","NM(N-C-U-I)-M","COMITATO PER LE INCOMPATIBILITA', LE INELEGGIBILITA' E LE DECADENZE",2023-04-30 12:00:35
"http://dati.camera.it/ocd/persona.rdf/p308790","BICCHIELLI","GIUSEPPE","19670331","nato a NAPOLI, NAPOLI, CAMPANIA, il 31.03.1967","NAPOLI","male","CAMPANIA 2 - P02","NOI MODERATI (NOI CON L'ITALIA, CORAGGIO ITALIA, UDC, ITALIA AL CENTRO)-MAIE (NM(N-C-U-I)-M) (27.10.2022","NM(N-C-U-I)-M","GIUNTA DELLE ELEZIONI",2023-04-30 12:00:35
"http://dati.camera.it/ocd/persona.rdf/p308790","BICCHIELLI","GIUSEPPE","19670331","nato a NAPOLI, NAPOLI, CAMPANIA, il 31.03.1967","NAPOLI","male","CAMPANIA 2 - P02","NOI MODERATI (NOI CON L'ITALIA, CORAGGIO ITALIA, UDC, ITALIA AL CENTRO)-MAIE (NM(N-C-U-I)-M) (27.10.2022","NM(N-C-U-I)-M","IV COMMISSIONE (DIFESA)",2023-04-30 12:00:35
