"d","cognome","nome","info","dataNascita","luogoNascita","genere","ufficio","organo","inizioUfficio","fineUfficio","collegio","aggiornamento"
"http://dati.camera.it/ocd/deputato.rdf/d200291_19","DE CORATO","RICCARDO","Diploma di istituto tecnico commerciale; Dipendente pubblico","19511101","ANDRIA","male","CAPOGRUPPO","COMMISSIONE SPECIALE ISTITUITA IL 19 OTTOBRE 2022, AI SENSI DELL'ARTICOLO 22, COMMA 2, DEL REGOLAMENTO","20221021","20221109","LOMBARDIA 1 - P01",2023-03-06 12:01:23
"http://dati.camera.it/ocd/deputato.rdf/d200291_19","DE CORATO","RICCARDO","Diploma di istituto tecnico commerciale; Dipendente pubblico","19511101","ANDRIA","male","VICEPRESIDENTE","COMMISSIONE SPECIALE ISTITUITA IL 19 OTTOBRE 2022, AI SENSI DELL'ARTICOLO 22, COMMA 2, DEL REGOLAMENTO","20221024","20221109","LOMBARDIA 1 - P01",2023-03-06 12:01:23
"http://dati.camera.it/ocd/deputato.rdf/d200291_19","DE CORATO","RICCARDO","Diploma di istituto tecnico commerciale; Dipendente pubblico","19511101","ANDRIA","male","VICEPRESIDENTE","I COMMISSIONE (AFFARI COSTITUZIONALI, DELLA PRESIDENZA DEL CONSIGLIO E INTERNI)","20221109",,"LOMBARDIA 1 - P01",2023-03-06 12:01:23
"http://dati.camera.it/ocd/deputato.rdf/d300299_19","ORSINI","ANDREA GIORGIO FELICE MARIA","Diploma di liceo classico; Dirigente","19590923","MILANO","male","CAPOGRUPPO","III COMMISSIONE (AFFARI ESTERI E COMUNITARI)","20221110",,"LOMBARDIA 4 - P01",2023-03-15 12:00:35
"http://dati.camera.it/ocd/deputato.rdf/d300369_19","ROMANO","FRANCESCO SAVERIO","Laurea in giurisprudenza; Avvocato","19641224","PALERMO","male","CAPOGRUPPO","GIUNTA PER LE AUTORIZZAZIONI","20221118",,"SICILIA 1 - P01",2023-04-30 12:00:41
"http://dati.camera.it/ocd/deputato.rdf/d300369_19","ROMANO","FRANCESCO SAVERIO","Laurea in giurisprudenza; Avvocato","19641224","PALERMO","male","CAPOGRUPPO","V COMMISSIONE (BILANCIO, TESORO E PROGRAMMAZIONE)","20221109",,"SICILIA 1 - P01",2023-04-30 12:00:41
"http://dati.camera.it/ocd/deputato.rdf/d300447_19","LUPI","MAURIZIO ENZO","Laurea in scienze politiche; Dirigente di azienda privata","19591003","MILANO","male","CAPOGRUPPO","II COMMISSIONE (GIUSTIZIA)","20221109",,"LOMBARDIA 2 - P02",2023-04-30 12:00:26
"http://dati.camera.it/ocd/deputato.rdf/d300447_19","LUPI","MAURIZIO ENZO","Laurea in scienze politiche; Dirigente di azienda privata","19591003","MILANO","male","CAPOGRUPPO","CONFERENZA DEI PRESIDENTI DI GRUPPO","20221019",,"LOMBARDIA 2 - P02",2023-04-30 12:00:26
"http://dati.camera.it/ocd/deputato.rdf/d300469_19","ZANELLA","LUANA","Laurea in scienze politiche, Specializzazione in diritto del lavoro e della sicurezza sociale; Docente di discipline giuridiche ed economiche","19501004","VENEZIA","female","CAPOGRUPPO","COMMISSIONE SPECIALE ISTITUITA IL 19 OTTOBRE 2022, AI SENSI DELL'ARTICOLO 22, COMMA 2, DEL REGOLAMENTO","20221021","20221109","VENETO 2 - P02",2023-04-30 12:00:39
"http://dati.camera.it/ocd/deputato.rdf/d300469_19","ZANELLA","LUANA","Laurea in scienze politiche, Specializzazione in diritto del lavoro e della sicurezza sociale; Docente di discipline giuridiche ed economiche","19501004","VENEZIA","female","CAPOGRUPPO","CONFERENZA DEI PRESIDENTI DI GRUPPO","20221019",,"VENETO 2 - P02",2023-04-30 12:00:39
"http://dati.camera.it/ocd/deputato.rdf/d300469_19","ZANELLA","LUANA","Laurea in scienze politiche, Specializzazione in diritto del lavoro e della sicurezza sociale; Docente di discipline giuridiche ed economiche","19501004","VENEZIA","female","CAPOGRUPPO","XII COMMISSIONE (AFFARI SOCIALI)","20221109",,"VENETO 2 - P02",2023-04-30 12:00:39
"http://dati.camera.it/ocd/deputato.rdf/d300469_19","ZANELLA","LUANA","Laurea in scienze politiche, Specializzazione in diritto del lavoro e della sicurezza sociale; Docente di discipline giuridiche ed economiche","19501004","VENEZIA","female","VICEPRESIDENTE","XII COMMISSIONE (AFFARI SOCIALI)","20221109",,"VENETO 2 - P02",2023-04-30 12:00:39
"http://dati.camera.it/ocd/deputato.rdf/d300480_19","GIACHETTI","ROBERTO","Diploma di liceo scientifico; Giornalista professionista","19610424","ROMA","male","SEGRETARIO","COMITATO DI VIGILANZA SULL'ATTIVITA' DI DOCUMENTAZIONE","20230223",,"LAZIO 1 - P01",2023-03-06 12:00:25
"http://dati.camera.it/ocd/deputato.rdf/d300480_19","GIACHETTI","ROBERTO","Diploma di liceo scientifico; Giornalista professionista","19610424","ROMA","male","SEGRETARIO","UFFICIO DI PRESIDENZA","20221026",,"LAZIO 1 - P01",2023-03-06 12:00:25
"http://dati.camera.it/ocd/deputato.rdf/d300480_19","GIACHETTI","ROBERTO","Diploma di liceo scientifico; Giornalista professionista","19610424","ROMA","male","CAPOGRUPPO","I COMMISSIONE (AFFARI COSTITUZIONALI, DELLA PRESIDENZA DEL CONSIGLIO E INTERNI)","20221109",,"LAZIO 1 - P01",2023-03-06 12:00:25
"http://dati.camera.it/ocd/deputato.rdf/d300497_19","BARELLI","PAOLO","Diploma di liceo scientifico; Imprenditore","19540607","ROMA","male","CAPOGRUPPO","CONFERENZA DEI PRESIDENTI DI GRUPPO","20230328",,"LAZIO 1 - P02",2023-04-28 12:01:01
"http://dati.camera.it/ocd/deputato.rdf/d300674_19","ROSATO","ETTORE","Diploma di istituto tecnico commerciale; Dipendente di azienda privata","19680728","TRIESTE","male","PRESIDENTE","UFFICIO PROVVISORIO DI PRESIDENZA","20221013","20221014","CAMPANIA 1 - P02",2023-04-30 12:01:11
"http://dati.camera.it/ocd/deputato.rdf/d300674_19","ROSATO","ETTORE","Diploma di istituto tecnico commerciale; Dipendente di azienda privata","19680728","TRIESTE","male","SEGRETARIO","COMITATO PARLAMENTARE PER LA SICUREZZA DELLA REPUBBLICA","20221206",,"CAMPANIA 1 - P02",2023-04-30 12:01:11
"http://dati.camera.it/ocd/deputato.rdf/d300674_19","ROSATO","ETTORE","Diploma di istituto tecnico commerciale; Dipendente di azienda privata","19680728","TRIESTE","male","CAPOGRUPPO","III COMMISSIONE (AFFARI ESTERI E COMUNITARI)","20221109",,"CAMPANIA 1 - P02",2023-04-30 12:01:11
"http://dati.camera.it/ocd/deputato.rdf/d301436_19","RAMPELLI","FABIO","Laurea in architettura; Architetto","19600802","ROMA","male","VICEPRESIDENTE","UFFICIO DI PRESIDENZA","20221019",,"LAZIO 1 - P01",2023-04-30 12:00:50
"http://dati.camera.it/ocd/deputato.rdf/d301436_19","RAMPELLI","FABIO","Laurea in architettura; Architetto","19600802","ROMA","male","PRESIDENTE","COMITATO PER GLI AFFARI DEL PERSONALE","20230220",,"LAZIO 1 - P01",2023-04-30 12:00:50
"http://dati.camera.it/ocd/deputato.rdf/d301439_19","CESA","LORENZO","Laurea in scienze politiche; Parlamentare","19510816","ARCINAZZO ROMANO","male","CAPOGRUPPO","IX COMMISSIONE (TRASPORTI, POSTE E TELECOMUNICAZIONI)","20221109",,"MOLISE - P01",2023-04-30 12:00:38
"http://dati.camera.it/ocd/deputato.rdf/d301541_19","COSTA","ENRICO","Laurea in giurisprudenza; Avvocato","19691129","CUNEO","male","PRESIDENTE","GIUNTA PER LE AUTORIZZAZIONI","20221116",,"LOMBARDIA 1 - P02",2023-03-06 12:00:31
"http://dati.camera.it/ocd/deputato.rdf/d301541_19","COSTA","ENRICO","Laurea in giurisprudenza; Avvocato","19691129","CUNEO","male","CAPOGRUPPO","GIUNTA PER LE AUTORIZZAZIONI","20221118",,"LOMBARDIA 1 - P02",2023-03-06 12:00:31
