"dataSeduta","numeroSeduta","votazione","numero","oggetto","esito","presenti","maggioranza","numeroLegale","votanti","favorevoli","contrari","astenuti","presidente"
2017-12-23,922,"http://dati.senato.it/votazione/17-922-25",25,"Votazione finale","approvato",235,118,151,234,140,94,0,"http://dati.senato.it/senatore/29110"
2017-12-23,922,"http://dati.senato.it/votazione/17-922-24",24,"Articolo 18","approvato",232,116,151,230,134,95,1,"http://dati.senato.it/senatore/29110"
2017-12-23,922,"http://dati.senato.it/votazione/17-922-23",23,"Articolo 17","approvato",235,118,151,234,138,95,1,"http://dati.senato.it/senatore/29110"
2017-12-23,922,"http://dati.senato.it/votazione/17-922-22",22,"Articolo 16","approvato",233,116,151,231,137,93,1,"http://dati.senato.it/senatore/29110"
2017-12-23,922,"http://dati.senato.it/votazione/17-922-21",21,"Articolo 15","approvato",232,115,151,229,135,93,1,"http://dati.senato.it/senatore/29110"
2017-12-23,922,"http://dati.senato.it/votazione/17-922-20",20,"Articolo 14","approvato",232,116,151,231,136,94,1,"http://dati.senato.it/senatore/29110"
2017-12-23,922,"http://dati.senato.it/votazione/17-922-19",19,"Articolo 13","approvato",235,118,151,234,138,94,2,"http://dati.senato.it/senatore/29110"
2017-12-23,922,"http://dati.senato.it/votazione/17-922-18",18,"Articolo 12","approvato",236,118,151,235,140,94,1,"http://dati.senato.it/senatore/29110"
2017-12-23,922,"http://dati.senato.it/votazione/17-922-17",17,"Articolo 11","approvato",236,118,151,234,139,93,2,"http://dati.senato.it/senatore/29110"
2017-12-23,922,"http://dati.senato.it/votazione/17-922-16",16,"Em. 11.Tab.10.1.5","respinto",234,117,151,233,29,155,49,"http://dati.senato.it/senatore/29110"
2017-12-23,922,"http://dati.senato.it/votazione/17-922-15",15,"Articolo 10","approvato",236,118,151,235,138,95,2,"http://dati.senato.it/senatore/29110"
2017-12-23,922,"http://dati.senato.it/votazione/17-922-14",14,"Em. 10.Tab.9.1.5","respinto",236,118,151,235,28,158,49,"http://dati.senato.it/senatore/29110"
2017-12-23,922,"http://dati.senato.it/votazione/17-922-13",13,"Articolo 9","approvato",236,118,151,235,139,95,1,"http://dati.senato.it/senatore/29110"
2017-12-23,922,"http://dati.senato.it/votazione/17-922-12",12,"Articolo 8","approvato",235,118,151,234,138,95,1,"http://dati.senato.it/senatore/29110"
2017-12-23,922,"http://dati.senato.it/votazione/17-922-11",11,"Articolo 7","approvato",236,118,151,235,139,95,1,"http://dati.senato.it/senatore/29110"
2017-12-23,922,"http://dati.senato.it/votazione/17-922-10",10,"Articolo 6","approvato",235,118,151,234,138,96,0,"http://dati.senato.it/senatore/29110"
