senatore,nome,cognome,sesso,legislatura,inizioMandato,fineMandato,tipoMandato,tipoFineMandato,dataNascita,cittaNascita,provinciaNascita,nazioneNascita
http://dati.senato.it/senatore/32,Maria Elisabetta,Alberti Casellati,F,19,2022-10-13,,elettivo,,1946-08-12,Rovigo,Rovigo,Italia
http://dati.senato.it/senatore/32578,Alessandro,Alfieri,M,19,2022-10-13,,elettivo,,1972-02-02,Varese,Varese,Italia
http://dati.senato.it/senatore/36381,Vincenza,Aloisio,F,19,2022-10-13,,elettivo,,1946-12-15,Muro Lucano,Potenza,Italia
http://dati.senato.it/senatore/36382,Paola,Ambrogio,F,19,2022-10-13,,elettivo,,1970-12-02,Torino,Torino,Italia
http://dati.senato.it/senatore/31010,Bartolomeo,Amidei,M,19,2022-10-13,,elettivo,,1961-05-23,Rovigo,Rovigo,Italia
http://dati.senato.it/senatore/36383,Renato,Ancorotti,M,19,2022-10-13,,elettivo,,1956-03-19,Crema,Cremona,Italia
http://dati.senato.it/senatore/29040,Bruno,Astorre,M,19,2022-10-13,,elettivo,,1963-03-11,Roma,Roma,Italia
http://dati.senato.it/senatore/22707,Andrea,Augello,M,19,2022-10-13,,elettivo,,1961-02-24,Novara,Novara,Italia
http://dati.senato.it/senatore/17542,Alberto,Balboni,M,19,2022-10-13,,elettivo,,1959-06-19,Ferrara,Ferrara,Italia
http://dati.senato.it/senatore/32583,Alberto,Barachini,M,19,2022-10-13,,elettivo,,1972-08-21,Pisa,Pisa,Italia
http://dati.senato.it/senatore/36431,Michele,Barcaiuolo,M,19,2022-10-13,,elettivo,,1979-02-07,MODENA,Modena,Italia
http://dati.senato.it/senatore/29270,Lorenzo,Basso,M,19,2022-10-13,,elettivo,,1976-02-19,Genova,Genova,Italia
http://dati.senato.it/senatore/29273,Alfredo,Bazoli,M,19,2022-10-13,,elettivo,,1969-12-15,Brescia,Brescia,Italia
http://dati.senato.it/senatore/32586,Giorgio Maria,Bergesio,M,19,2022-10-13,,elettivo,,1963-11-22,Bra,Cuneo,Italia
http://dati.senato.it/senatore/227,Silvio,Berlusconi,M,19,2022-10-13,,elettivo,,1936-09-29,Milano,Milano,Italia
http://dati.senato.it/senatore/25558,Anna Maria,Bernini,F,19,2022-10-13,,elettivo,,1965-08-17,Bologna,Bologna,Italia
http://dati.senato.it/senatore/36384,Gianni,Berrino,M,19,2022-10-13,,elettivo,,1964-05-07,San Remo,Imperia,Italia
http://dati.senato.it/senatore/36385,Dolores,Bevilacqua,F,19,2022-10-13,,elettivo,,1974-08-27,Partinico,Palermo,Italia
http://dati.senato.it/senatore/22871,Michaela,Biancofiore,F,19,2022-10-13,,elettivo,,1970-12-28,Bolzano,Bolzano,Italia
http://dati.senato.it/senatore/32851,Anna,Bilotti,F,19,2022-10-13,,elettivo,,1982-06-15,BATTIPAGLIA,Salerno,Italia
http://dati.senato.it/senatore/36386,Mara,Bizzotto,F,19,2022-10-13,,elettivo,,1972-06-03,Bassano Del Grappa,Vicenza,Italia
http://dati.senato.it/senatore/25555,Francesco,Boccia,M,19,2022-10-13,,elettivo,,1968-03-18,Bisceglie,Barletta-Andria-Trani,Italia
http://dati.senato.it/senatore/22877,Giulia,Bongiorno,F,19,2022-10-13,,elettivo,,1966-03-22,Palermo,Palermo,Italia
http://dati.senato.it/senatore/29291,Mario Alejandro,Borghese,M,19,2022-10-13,,elettivo,,1981-04-14,CORDOBA,,Argentina
http://dati.senato.it/senatore/29292,Stefano,Borghesi,M,19,2022-10-13,,elettivo,,1977-09-16,Brescia,Brescia,Italia
http://dati.senato.it/senatore/33070,Claudio,Borghi,M,19,2022-10-13,,elettivo,,1970-06-06,Milano,Milano,Italia
http://dati.senato.it/senatore/29293,Enrico,Borghi,M,19,2022-10-13,,elettivo,,1967-08-06,Premosello-Chiovenda,Verbano Cusio Ossola,Italia
http://dati.senato.it/senatore/32590,Lucia,Borgonzoni,F,19,2022-10-13,,elettivo,,1976-09-18,Bologna,Bologna,Italia
http://dati.senato.it/senatore/32856,Carmela,Bucalo,F,19,2022-10-13,,elettivo,,1963-06-27,Barcellona Pozzo Di Gotto,Messina,Italia
http://dati.senato.it/senatore/407,Alessio,Butti,M,19,2022-10-13,,elettivo,,1964-10-15,Como,Como,Italia
http://dati.senato.it/senatore/34485,Nicola,Calandrini,M,19,2022-10-13,,elettivo,,1966-11-05,Latina,Latina,Italia
http://dati.senato.it/senatore/422,Roberto,Calderoli,M,19,2022-10-13,,elettivo,,1956-04-18,Bergamo,Bergamo,Italia
http://dati.senato.it/senatore/30110,Carlo,Calenda,M,19,2022-10-13,,elettivo,,1973-04-09,Roma,Roma,Italia
http://dati.senato.it/senatore/36432,Susanna Donatella,Campione,F,19,2022-10-13,,elettivo,,1966-02-03,Tripoli,,Libia
http://dati.senato.it/senatore/36392,Susanna Lina Giulia,Camusso,F,19,2022-10-13,,elettivo,,1955-08-14,Milano,Milano,Italia
