Parlamentare;Espressione;LuogoN
ACQUAROLI Francesco (FdI);Assente;Marche
ACUNZO Nicola (M5S);Assente;Campania 2
ADELIZZI Cosimo (M5S);Favorevole;Campania 2
AIELLO Davide (M5S);Favorevole;Sicilia 1
AIELLO Piera (M5S);Favorevole;Sicilia 1
ALAIMO Roberta (M5S);Assente;Sicilia 1
ALEMANNO Maria Soave (M5S);Favorevole;Puglia
AMITRANO Alessandro (M5S);Favorevole;Campania 1
ANDREUZZA Giorgia (Lega);Contrario;Veneto 1
ANGELUCCI Antonio (FI);Assente;Lazio 1
ANGIOLA Nunzio (M5S);Favorevole;Puglia
ANNIBALI Lucia (IV);Favorevole;Veneto 2
ANZALDI Michele (IV);Favorevole;Lazio 1
APREA Valentina (FI);Assente;Lombardia 1
APRILE Nadia (M5S);Favorevole;Puglia
ARESTA Giovanni Luca (M5S);Favorevole;Puglia
ASCANI Anna (PD);In missione;Umbria
ASCARI Stefania (M5S);Favorevole;Emilia-Romagna
AZZOLINA Lucia (M5S);Assente;Piemonte 2
BADOLE Mirco (Lega);Contrario;Veneto 1
BAGNASCO Roberto (FI) ;Favorevole;Liguria
BALDELLI Simone (FI);Contrario;Marche
BALDINI Maria Teresa (FdI);Contrario;Lombardia 1
BALDINO Vittoria (M5S);Favorevole;Lazio 1
BARATTO Raffaele (FI);Contrario;Veneto 1
BARBUTO Elisabetta Maria (M5S);Favorevole;Calabria
BARELLI Paolo (FI);Contrario;Lazio 2
BARONI Anna Lisa (FI);Assente;Lombardia 4
BARONI Massimo Enrico (M5S);Favorevole;Lazio 1
BARTOLOZZI Giusi (FI);Assente;Sicilia 1
BARZOTTI Valentina (M5S);Favorevole;Lombardia 4
BASINI Giuseppe (Lega);Contrario;Lazio 1
BATTELLI Sergio (M5S);Favorevole;Liguria
BATTILOCCHIO Alessandro (FI);Contrario;Lazio 2
BAZOLI Alfredo (PD);Favorevole;Lombardia 3
BAZZARO Alex (Lega);In missione;Veneto 1
BELLA Marco (M5S);Favorevole;Lazio 1
BELLACHIOMA Giuseppe Ercole (Lega);Contrario;Abruzzo
BELLUCCI Maria Teresa (FdI);Contrario;Lazio 1
BELOTTI Daniele (Lega);Contrario;Lombardia 3
BENAMATI Gianluca (PD);Favorevole;Emilia-Romagna
BENDINELLI Davide (FI);Assente;Veneto 2
BENEDETTI Silvia (Misto);Favorevole;Veneto 2
BENIGNI Stefano (Misto);Assente;Lombardia 3
BENVENUTO Alessandro (Lega);Assente;Piemonte 1
BERARDINI Fabio (M5S);Favorevole;Abruzzo
BERGAMINI Deborah (FI);Assente;Toscana
BERLINGHIERI Marina (PD);Favorevole;Lombardia 3
BERSANI Pier Luigi (LeU);Assente;Emilia-Romagna
BERTI Francesco (M5S);Favorevole;Toscana
BIANCHI Matteo Luigi (Lega);Assente;Lombardia 2
BIANCOFIORE Michaela (FI);Assente;Emilia-Romagna
BIGNAMI Galeazzo (FdI);Assente;Emilia-Romagna
BILLI Simone (Lega);Contrario;Europa
BILOTTI Anna (M5S);Favorevole;Campania 2
